target_name	target_chr	target_strand	target_TSS	target_gene_length	regulator_name	regulator_type	elements_type	regulator_chr	regulator_start	regulator_end	regulation_dis	regulation_distance	met_sd	pearson_cor	pvalue	indirect_passenger
cg12624667	MLH1	chr3	+	37034840	57497	cg12624667	indirect	CpGs_met	chr3	36986555	36986555	distal	-48285	0.289591731274203	-0.366	2.96045523732885e-13	EPM2AIP1
cg03450370	MLH1	chr3	+	37034840	57497	cg03450370	indirect	CpGs_met	chr3	36986589	36986589	distal	-48251	0.208063003593548	-0.356	1.45092019100284e-12	EPM2AIP1
cg07696485	MLH1	chr3	+	37034840	57497	cg07696485	indirect	CpGs_met	chr3	36986642	36986642	distal	-48198	0.258105831153651	-0.408	2.48014396221339e-16	EPM2AIP1
cg11870261	MLH1	chr3	+	37034840	57497	cg11870261	indirect	CpGs_met	chr3	36986679	36986679	distal	-48161	0.217220495714818	-0.42	2.73394588586903e-17	EPM2AIP1
cg01349853	MLH1	chr3	+	37034840	57497	cg01349853	indirect	CpGs_met	chr3	36986697	36986697	distal	-48143	0.181521958417984	-0.407	2.95326982049706e-16	EPM2AIP1
cg17445812	MLH1	chr3	+	37034840	57497	cg17445812	indirect	CpGs_met	chr3	36986805	36986805	distal	-48035	0.120263403891792	-0.299	4.16502540023895e-09	EPM2AIP1
cg24607398	MLH1	chr3	+	37034840	57497	cg24607398	indirect	CpGs_met	chr3	37033625	37033625	promoter	-1215	0.229020666381372	-0.396	2.19106818990126e-15	EPM2AIP1
cg10990993	MLH1	chr3	+	37034840	57497	cg10990993	indirect	CpGs_met	chr3	37033632	37033632	promoter	-1208	0.220500947277496	-0.41	1.65645447252653e-16	EPM2AIP1
cg04726821	MLH1	chr3	+	37034840	57497	cg04726821	indirect	CpGs_met	chr3	37033791	37033791	promoter	-1049	0.237275958576303	-0.413	8.86310227946256e-17	EPM2AIP1
cg11291081	MLH1	chr3	+	37034840	57497	cg11291081	indirect	CpGs_met	chr3	37033894	37033894	promoter	-946	0.245119215296822	-0.5	5.66077269472424e-25	EPM2AIP1
cg05670953	MLH1	chr3	+	37034840	57497	cg05670953	indirect	CpGs_met	chr3	37033903	37033903	promoter	-937	0.256898090476737	-0.472	5.25788655639819e-22	EPM2AIP1
cg18320188	MLH1	chr3	+	37034840	57497	cg18320188	indirect	CpGs_met	chr3	37033980	37033980	promoter	-860	0.185406079843839	-0.542	7.81704356014263e-30	EPM2AIP1
cg04841293	MLH1	chr3	+	37034840	57497	cg04841293	indirect	CpGs_met	chr3	37034028	37034028	promoter	-812	0.175770749363104	-0.657	2.05481592284448e-47	EPM2AIP1
cg05845319	MLH1	chr3	+	37034840	57497	cg05845319	indirect	CpGs_met	chr3	37034066	37034066	promoter	-774	0.202503473765668	-0.623	2.38464430792959e-41	EPM2AIP1
cg21109167	MLH1	chr3	+	37034840	57497	cg21109167	indirect	CpGs_met	chr3	37034084	37034084	promoter	-756	0.220652767077045	-0.498	1.08000820371847e-24	EPM2AIP1
cg03901257	MLH1	chr3	+	37034840	57497	cg03901257	indirect	CpGs_met	chr3	37034142	37034142	promoter	-698	0.195200360959427	-0.726	3.60933756743825e-62	cg02279071
cg02279071	MLH1	chr3	+	37034840	57497	cg02279071	indirect	CpGs_met	chr3	37034154	37034154	promoter	-686	0.197401863663645	-0.752	6.88083979558105e-69	cg17641046
cg14751544	MLH1	chr3	+	37034840	57497	cg14751544	indirect	CpGs_met	chr3	37034166	37034166	promoter	-674	0.203239154835564	-0.724	1.33126292019541e-61	cg02279071
cg16764580	MLH1	chr3	+	37034840	57497	cg16764580	indirect	CpGs_met	chr3	37034346	37034346	promoter	-494	0.203192950256771	-0.733	5.59443090316227e-64	cg02279071
cg17641046	MLH1	chr3	+	37034840	57497	cg17641046	indirect	CpGs_met	chr3	37034473	37034473	promoter	-367	0.245555369771307	-0.765	8.96830492599035e-73	cg07101782
cg07101782	MLH1	chr3	+	37034840	57497	cg07101782	indirect	CpGs_met	chr3	37034495	37034495	promoter	-345	0.222598688675226	-0.777	2.10594804020325e-76	cg03497419
cg03497419	MLH1	chr3	+	37034840	57497	cg03497419	indirect	CpGs_met	chr3	37034654	37034654	promoter	-186	0.241038686314388	-0.801	1.43092840442992e-84	cg10769891
cg27586588	MLH1	chr3	+	37034840	57497	cg27586588	direct	CpGs_met	chr3	37034661	37034661	promoter	-179	0.221219990658675	-0.817	1.81310232287459e-90	NA
cg16433211	MLH1	chr3	+	37034840	57497	cg16433211	direct	CpGs_met	chr3	37034693	37034693	promoter	-147	0.190943894969024	-0.851	1.0045933658506e-105	NA
cg10769891	MLH1	chr3	+	37034840	57497	cg10769891	indirect	CpGs_met	chr3	37034730	37034730	promoter	-110	0.171540449281146	-0.839	6.19653322054982e-100	cg19132762
cg19132762	MLH1	chr3	+	37034840	57497	cg19132762	direct	CpGs_met	chr3	37034739	37034739	promoter	-101	0.180018719937777	-0.853	8.84121008080582e-107	NA
cg23658326	MLH1	chr3	+	37034840	57497	cg23658326	indirect	CpGs_met	chr3	37034787	37034787	promoter	-53	0.202833100222182	-0.842	2.11916043925343e-101	cg00893636
cg11600697	MLH1	chr3	+	37034840	57497	cg11600697	indirect	CpGs_met	chr3	37034814	37034814	promoter	-26	0.191802299937666	-0.847	1.50574709284021e-103	cg21490561
cg21490561	MLH1	chr3	+	37034840	57497	cg21490561	indirect	CpGs_met	chr3	37034825	37034825	promoter	-15	0.181516827810075	-0.857	2.10178783986256e-108	cg00893636
cg00893636	MLH1	chr3	+	37034840	57497	cg00893636	direct	CpGs_met	chr3	37034840	37034840	promoter	0	0.164432134817239	-0.866	1.18707814847649e-113	NA
cg03192963	MLH1	chr3	+	37034840	57497	cg03192963	indirect	CpGs_met	chr3	37034909	37034909	promoter	69	0.160040222699443	-0.849	1.1409950114201e-104	cg00893636
cg06791151	MLH1	chr3	+	37034840	57497	cg06791151	direct	CpGs_met	chr3	37034956	37034956	promoter	116	0.122317645481876	-0.812	1.41717449995114e-88	NA
cg07064226	MLH1	chr3	+	37034840	57497	cg07064226	direct	CpGs_met	chr3	37034997	37034997	promoter	157	0.211709704871695	-0.834	1.3352825187189e-97	NA
cg06108510	MLH1	chr3	+	37034840	57497	cg06108510	indirect	CpGs_met	chr3	37035063	37035063	promoter	223	0.218297897095104	-0.85	5.61891297739206e-105	cg00893636
cg24985459	MLH1	chr3	+	37034840	57497	cg24985459	indirect	CpGs_met	chr3	37035090	37035090	promoter	250	0.200501122345723	-0.844	5.07285034635835e-102	cg00893636
cg25202636	MLH1	chr3	+	37034840	57497	cg25202636	direct	CpGs_met	chr3	37035158	37035158	promoter	318	0.20330975501334	-0.84	2.59813075827207e-100	NA
cg17621259	MLH1	chr3	+	37034840	57497	cg17621259	direct	CpGs_met	chr3	37035168	37035168	promoter	328	0.176726208587911	-0.827	1.4236216197259e-94	NA
cg14671526	MLH1	chr3	+	37034840	57497	cg14671526	direct	CpGs_met	chr3	37035200	37035200	promoter	360	0.184889192056848	-0.836	1.53445648904178e-98	NA
cg05906740	MLH1	chr3	+	37034840	57497	cg05906740	direct	CpGs_met	chr3	37035205	37035205	promoter	365	0.143099728921742	-0.838	3.54410812956e-99	NA
cg27331401	MLH1	chr3	+	37034840	57497	cg27331401	indirect	CpGs_met	chr3	37035207	37035207	promoter	367	0.175481549503233	-0.822	1.21093951234347e-92	cg21490561
cg25837710	MLH1	chr3	+	37034840	57497	cg25837710	direct	CpGs_met	chr3	37035220	37035220	promoter	380	0.135098665833282	-0.823	7.42697508704001e-93	NA
cg12851504	MLH1	chr3	+	37034840	57497	cg12851504	indirect	CpGs_met	chr3	37035222	37035222	promoter	382	0.146350678330796	-0.834	1.09573033442392e-97	cg00893636
cg06590608	MLH1	chr3	+	37034840	57497	cg06590608	direct	CpGs_met	chr3	37035228	37035228	promoter	388	0.192542527645028	-0.832	1.61144955842946e-96	NA
cg11224603	MLH1	chr3	+	37034840	57497	cg11224603	direct	CpGs_met	chr3	37035282	37035282	promoter	442	0.165928483897772	-0.843	8.35217949749487e-102	NA
cg19208331	MLH1	chr3	+	37034840	57497	cg19208331	direct	CpGs_met	chr3	37035345	37035345	gene_body	505	0.185384776685935	-0.854	5.7026198902156e-107	NA
cg14598950	MLH1	chr3	+	37034840	57497	cg14598950	indirect	CpGs_met	chr3	37035355	37035355	gene_body	515	0.160865259490564	-0.838	3.42676089864949e-99	cg19208331
cg13846866	MLH1	chr3	+	37034840	57497	cg13846866	indirect	CpGs_met	chr3	37035399	37035399	gene_body	559	0.222042274987718	-0.822	1.41492446059103e-92	cg00893636
cg06284479	MLH1	chr3	+	37034840	57497	cg06284479	direct	CpGs_met	chr3	37173546	37173546	distal	138706	0.153846232108279	0.288	1.52940939145044e-08	NA
cg15934958	MLH1	chr3	+	37034840	57497	cg15934958	association	CpGs_met	chr3	37212084	37212084	distal	177244	0.163332364310025	0.159	0.0021085465150808	NA
cg22985146	MLH1	chr3	+	37034840	57497	cg22985146	direct	CpGs_met	chr3	37219077	37219077	distal	184237	0.106089541698948	0.138	0.00759446050167543	NA
cg12984086	MLH1	chr3	+	37034840	57497	cg12984086	direct	CpGs_met	chr3	37284287	37284287	distal	249447	0.139313834770804	0.21	4.63083580011067e-05	NA
